Date-Time,NO2
2013-03-01,19.81373167237443
2013-03-02,50.333333333333336
2013-03-03,88.41666666666667
2013-03-04,43.666666666666664
2013-03-05,100.10539833904109
2013-03-06,125.41666666666667
2013-03-07,138.25
2013-03-08,119.87095
2013-03-09,40.81373167237443
2013-03-10,44.333333333333336
2013-03-11,74.375
2013-03-12,72.91666666666667
2013-03-13,34.125
2013-03-14,64.41666666666667
2013-03-15,94.33333333333333
2013-03-16,82.375
2013-03-17,96.95833333333333
2013-03-18,35.416666666666664
2013-03-19,39.791666666666664
2013-03-20,35.75
2013-03-21,68.0
2013-03-22,48.291666666666664
2013-03-23,46.791666666666664
2013-03-24,29.625
2013-03-25,66.62309583333334
2013-03-26,69.45833333333333
2013-03-27,33.833333333333336
2013-03-28,28.0
2013-03-29,65.66666666666667
2013-03-30,47.958333333333336
2013-03-31,60.916666666666664
2013-04-01,40.75
2013-04-02,54.166666666666664
2013-04-03,72.58333333333333
2013-04-04,63.666666666666664
2013-04-05,36.166666666666664
2013-04-06,23.75
2013-04-07,54.833333333333336
2013-04-08,15.333333333333334
2013-04-09,11.5
2013-04-10,19.96855
2013-04-11,41.70999583333333
2013-04-12,63.559891666666665
2013-04-13,41.208333333333336
2013-04-14,27.75
2013-04-15,51.36977083333333
2013-04-16,37.5
2013-04-17,35.291666666666664
2013-04-18,17.801604166666667
2013-04-19,38.958333333333336
2013-04-20,42.833333333333336
2013-04-21,55.351012499999996
2013-04-22,57.105398339041095
2013-04-23,58.208333333333336
2013-04-24,50.577
2013-04-25,32.333333333333336
2013-04-26,61.56373167237442
2013-04-27,47.208333333333336
2013-04-28,50.416666666666664
2013-04-29,37.166666666666664
2013-04-30,41.25
2013-05-01,39.208333333333336
2013-05-02,49.87694166666666
2013-05-03,32.0
2013-05-04,37.553266666666666
2013-05-05,69.16666666666667
2013-05-06,55.666666666666664
2013-05-07,59.708333333333336
2013-05-08,52.458333333333336
2013-05-09,40.583333333333336
2013-05-10,41.625
2013-05-11,53.708333333333336
2013-05-12,47.083333333333336
2013-05-13,62.083333333333336
2013-05-14,44.5
2013-05-15,46.791666666666664
2013-05-16,49.791666666666664
2013-05-17,54.0
2013-05-18,44.041666666666664
2013-05-19,27.583333333333332
2013-05-20,42.647065005707766
2013-05-21,67.20833333333333
2013-05-22,73.5
2013-05-23,89.08333333333333
2013-05-24,86.5
2013-05-25,72.66666666666667
2013-05-26,49.333333333333336
2013-05-27,29.333333333333332
2013-05-28,47.27206500570776
2013-05-29,32.58826002283105
2013-05-30,82.70833333333333
2013-05-31,54.708333333333336
2013-06-01,78.625
2013-06-02,52.791666666666664
2013-06-03,79.5
2013-06-04,66.375
2013-06-05,34.5
2013-06-06,46.458333333333336
2013-06-07,49.041666666666664
2013-06-08,43.0
2013-06-09,30.309749999999998
2013-06-10,29.229587499999997
2013-06-11,33.87381666666666
2013-06-12,19.375
2013-06-13,41.666666666666664
2013-06-14,57.916666666666664
2013-06-15,81.25
2013-06-16,93.83333333333333
2013-06-17,58.583333333333336
2013-06-18,132.54166666666666
2013-06-19,75.03191838470319
2013-06-20,58.82851174086758
2013-06-21,45.833333333333336
2013-06-22,29.625
2013-06-23,26.958333333333332
2013-06-24,22.166666666666668
2013-06-25,33.25
2013-06-26,37.875
2013-06-27,60.375
2013-06-28,70.04166666666667
2013-06-29,55.6374375
2013-06-30,49.75
2013-07-01,56.12312083333333
2013-07-02,25.835796678082193
2013-07-03,45.898045833333335
2013-07-04,47.91196666666667
2013-07-05,38.5
2013-07-06,40.041666666666664
2013-07-07,26.729965005707765
2013-07-08,37.62323333333333
2013-07-09,51.85647916666667
2013-07-10,48.94204583333333
2013-07-11,55.252985839041095
2013-07-12,41.5895875
2013-07-13,25.078420833333336
2013-07-14,24.407845833333337
2013-07-15,35.70176500570776
2013-07-16,27.102954166666667
2013-07-17,53.86705416666666
2013-07-18,36.30090416666667
2013-07-19,40.791666666666664
2013-07-20,52.583333333333336
2013-07-21,51.791666666666664
2013-07-22,57.8163125
2013-07-23,28.958333333333332
2013-07-24,46.37721585045662
2013-07-25,46.375
2013-07-26,64.91666666666667
2013-07-27,75.16666666666667
2013-07-28,52.458333333333336
2013-07-29,86.25
2013-07-30,65.08333333333333
2013-07-31,31.6053983390411
2013-08-01,53.083333333333336
2013-08-02,57.166666666666664
2013-08-03,40.25
2013-08-04,37.333333333333336
2013-08-05,35.4180625
2013-08-06,46.617241666666665
2013-08-07,30.291666666666668
2013-08-08,41.333333333333336
2013-08-09,39.333333333333336
2013-08-10,37.958333333333336
2013-08-11,40.041666666666664
2013-08-12,23.333333333333332
2013-08-13,33.083333333333336
2013-08-14,31.041666666666668
2013-08-15,44.583333333333336
2013-08-16,72.33333333333333
2013-08-17,40.541666666666664
2013-08-18,34.458333333333336
2013-08-19,54.291666666666664
2013-08-20,44.875
2013-08-21,60.041666666666664
2013-08-22,86.125
2013-08-23,60.916666666666664
2013-08-24,69.08333333333333
2013-08-25,56.916666666666664
2013-08-26,47.583333333333336
2013-08-27,46.666666666666664
2013-08-28,64.54166666666667
2013-08-29,30.208333333333332
2013-08-30,17.833333333333332
2013-08-31,41.166666666666664
2013-09-01,37.958333333333336
2013-09-02,51.16184507420092
2013-09-03,46.115251718036525
2013-09-04,43.5
2013-09-05,24.5
2013-09-06,51.44597083333333
2013-09-07,58.7005
2013-09-08,75.47254166666666
2013-09-09,37.860083333333336
2013-09-10,50.625
2013-09-11,58.916666666666664
2013-09-12,79.45833333333333
2013-09-13,51.083333333333336
2013-09-14,48.583333333333336
2013-09-15,46.375
2013-09-16,65.95833333333333
2013-09-17,79.54166666666667
