Date-Time,CO
2013-03-01,2796.548387096774
2013-04-01,1936.5333333333333
2013-05-01,2025.4516129032259
2013-06-01,2546.5
2013-07-01,2012.8064516129032
2013-08-01,1893.5483870967741
2013-09-01,2226.633333333333
2013-10-01,2564.516129032258
2013-11-01,3450.0
2013-12-01,4754.8387096774195
2014-01-01,4064.516129032258
2014-02-01,3403.5714285714284
2014-03-01,2700.0
2014-04-01,1693.3333333333333
2014-05-01,1706.4516129032259
2014-06-01,1570.0
2014-07-01,1422.5806451612902
2014-08-01,1545.1612903225807
2014-09-01,1846.6666666666667
2014-10-01,2277.4193548387098
2014-11-01,3556.6666666666665
2014-12-01,3593.548387096774
2015-01-01,3725.8064516129034
2015-02-01,3035.714285714286
2015-03-01,2354.8387096774195
2015-04-01,1446.6666666666667
2015-05-01,1322.5806451612902
2015-06-01,2126.6666666666665
2015-07-01,1564.516129032258
2015-08-01,1516.1290322580646
2015-09-01,1586.6666666666667
2015-10-01,1854.8387096774193
2015-11-01,3026.6666666666665
2015-12-01,5096.774193548387
2016-01-01,3151.6129032258063
2016-02-01,1803.448275862069
