Date-Time,PM2.5
2013-03-01,183.58064516129033
2013-04-01,138.66666666666666
2013-05-01,136.16129032258064
2013-06-01,185.46666666666667
2013-07-01,124.2258064516129
2013-08-01,115.06451612903226
2013-09-01,108.4
2013-10-01,181.48387096774192
2013-11-01,176.76666666666668
2013-12-01,189.8709677419355
2014-01-01,226.90322580645162
2014-02-01,243.46428571428572
2014-03-01,169.25806451612902
2014-04-01,130.53333333333333
2014-05-01,112.87096774193549
2014-06-01,103.2
2014-07-01,131.90322580645162
2014-08-01,103.58064516129032
2014-09-01,126.63333333333334
2014-10-01,171.51612903225808
2014-11-01,201.84333333333333
2014-12-01,146.16129032258064
2015-01-01,199.5483870967742
2015-02-01,201.10714285714286
2015-03-01,147.90322580645162
2015-04-01,132.23333333333332
2015-05-01,105.03225806451613
2015-06-01,104.1
2015-07-01,107.83870967741936
2015-08-01,90.80645161290323
2015-09-01,94.36666666666666
2015-10-01,133.38709677419354
2015-11-01,187.93333333333334
2015-12-01,302.93548387096774
2016-01-01,164.90322580645162
2016-02-01,114.41379310344827
