Date-Time,CO
2013-03-01,341.6666666666667
2013-03-02,983.25
2013-03-03,2308.0
2013-03-04,674.9583333333334
2013-03-05,2578.875
2013-03-06,2762.0833333333335
2013-03-07,4158.0
2013-03-08,2979.0416666666665
2013-03-09,1404.0833333333333
2013-03-10,766.6666666666666
2013-03-11,1337.3333333333333
2013-03-12,1999.7083333333333
2013-03-13,508.3333333333333
2013-03-14,1379.0833333333333
2013-03-15,2416.2083333333335
2013-03-16,2320.625
2013-03-17,2682.9583333333335
2013-03-18,808.2916666666666
2013-03-19,679.1666666666666
2013-03-20,879.1666666666666
2013-03-21,1266.5416666666667
2013-03-22,870.7916666666666
2013-03-23,1137.375
2013-03-24,508.3333333333333
2013-03-25,983.3333333333334
2013-03-26,1491.5
2013-03-27,816.5833333333334
2013-03-28,533.3333333333334
2013-03-29,1670.5833333333333
2013-03-30,1587.3333333333333
2013-03-31,1328.9583333333333
2013-04-01,1403.9166666666667
2013-04-02,1408.1666666666667
2013-04-03,1457.9583333333333
2013-04-04,2299.6666666666665
2013-04-05,1183.2083333333333
2013-04-06,429.1666666666667
2013-04-07,1241.5
2013-04-08,345.8333333333333
2013-04-09,312.5
2013-04-10,416.6666666666667
2013-04-11,633.3333333333334
2013-04-12,866.6666666666666
2013-04-13,741.625
2013-04-14,587.5
2013-04-15,1403.8333333333333
2013-04-16,1041.5833333333333
2013-04-17,616.6666666666666
2013-04-18,325.0
2013-04-19,775.0
2013-04-20,733.3333333333334
2013-04-21,1079.1666666666667
2013-04-22,1154.0833333333333
2013-04-23,1329.0833333333333
2013-04-24,858.2916666666666
2013-04-25,412.5
2013-04-26,1179.125
2013-04-27,1149.9583333333333
2013-04-28,1766.3333333333333
2013-04-29,566.6666666666666
2013-04-30,454.125
2013-05-01,620.8333333333334
2013-05-02,1091.625
2013-05-03,795.8333333333334
2013-05-04,708.3333333333334
2013-05-05,1541.2916666666667
2013-05-06,1708.0833333333333
2013-05-07,1641.5
2013-05-08,1608.25
2013-05-09,625.0
2013-05-10,616.6666666666666
2013-05-11,641.6666666666666
2013-05-12,658.2916666666666
2013-05-13,1816.4583333333333
2013-05-14,737.4583333333334
2013-05-15,1541.5
2013-05-16,995.75
2013-05-17,1241.5416666666667
2013-05-18,1212.375
2013-05-19,725.0
2013-05-20,900.0
2013-05-21,900.0
2013-05-22,900.0
2013-05-23,1416.5416666666667
2013-05-24,1837.2083333333333
2013-05-25,1099.875
2013-05-26,1570.5833333333333
2013-05-27,966.625
2013-05-28,1012.4166666666666
2013-05-29,345.8333333333333
2013-05-30,787.5
2013-05-31,883.3333333333334
2013-06-01,745.8333333333334
2013-06-02,1628.9583333333333
2013-06-03,1412.4166666666667
2013-06-04,1820.5416666666667
2013-06-05,1624.9166666666667
2013-06-06,2424.625
2013-06-07,2416.3333333333335
2013-06-08,2354.0416666666665
2013-06-09,1070.7916666666667
2013-06-10,775.0
2013-06-11,687.5
2013-06-12,954.1666666666666
2013-06-13,1479.0416666666667
