Date-Time,SO2
2013-03-01,81.12903225806451
2013-04-01,51.333333333333336
2013-05-01,59.38709677419355
2013-06-01,37.8
2013-07-01,20.552929032258064
2013-08-01,14.129032258064516
2013-09-01,34.36666666666667
2013-10-01,44.67741935483871
2013-11-01,56.766666666666666
2013-12-01,84.6804129032258
2014-01-01,108.12903225806451
2014-02-01,105.0
2014-03-01,72.7741935483871
2014-04-01,36.333333333333336
2014-05-01,37.483870967741936
2014-06-01,21.566666666666666
2014-07-01,18.258064516129032
2014-08-01,14.890322580645162
2014-09-01,19.9
2014-10-01,24.903225806451612
2014-11-01,42.5
2014-12-01,72.19354838709677
2015-01-01,78.87096774193549
2015-02-01,61.0
2015-03-01,45.096774193548384
2015-04-01,24.7
2015-05-01,19.516129032258064
2015-06-01,16.033333333333335
2015-07-01,12.580645161290322
2015-08-01,9.0
2015-09-01,13.1
2015-10-01,16.677419354838708
2015-11-01,27.566666666666666
2015-12-01,42.70967741935484
2016-01-01,44.67741935483871
2016-02-01,37.58620689655172
