Date-Time,PM2.5
2013-03-01,192.83870967741936
2013-04-01,99.6
2013-05-01,155.29032258064515
2013-06-01,189.96666666666667
2013-07-01,132.25806451612902
2013-08-01,123.7741935483871
2013-09-01,136.23333333333332
2013-10-01,178.93548387096774
2013-11-01,170.8
2013-12-01,187.5483870967742
2014-01-01,214.67741935483872
2014-02-01,247.5
2014-03-01,174.48387096774192
2014-04-01,136.86666666666667
2014-05-01,132.03225806451613
2014-06-01,101.03333333333333
2014-07-01,131.67741935483872
2014-08-01,105.29032258064517
2014-09-01,110.16666666666667
2014-10-01,219.0
2014-11-01,227.13333333333333
2014-12-01,164.90322580645162
2015-01-01,227.6451612903226
2015-02-01,195.0
2015-03-01,166.67741935483872
2015-04-01,138.26666666666668
2015-05-01,105.12903225806451
2015-06-01,111.53333333333333
2015-07-01,96.3225806451613
2015-08-01,80.03225806451613
2015-09-01,93.43333333333334
2015-10-01,137.19354838709677
2015-11-01,184.33333333333334
2015-12-01,292.06451612903226
2016-01-01,154.3548387096774
2016-02-01,94.82758620689656
