Date-Time,CO
2013-03-01,2786.6774193548385
2013-04-01,1736.4
2013-05-01,1609.483870967742
2013-06-01,2226.4
2013-07-01,1567.6774193548388
2013-08-01,1516.1290322580646
2013-09-01,1909.9666666666667
2013-10-01,2225.8064516129034
2013-11-01,3060.0
2013-12-01,2690.3225806451615
2014-01-01,4564.5161290322585
2014-02-01,3950.0
2014-03-01,2816.1290322580644
2014-04-01,1656.6666666666667
2014-05-01,1600.0
2014-06-01,1330.0
2014-07-01,1367.741935483871
2014-08-01,1300.0
2014-09-01,1566.6666666666667
2014-10-01,2406.451612903226
2014-11-01,3426.6666666666665
2014-12-01,3638.7096774193546
2015-01-01,4103.225806451613
2015-02-01,2917.8571428571427
2015-03-01,2774.1935483870966
2015-04-01,1363.3333333333333
2015-05-01,1212.9032258064517
2015-06-01,2473.3333333333335
2015-07-01,1135.483870967742
2015-08-01,1209.6774193548388
2015-09-01,1153.3333333333333
2015-10-01,1716.1290322580646
2015-11-01,2933.3333333333335
2015-12-01,5454.8387096774195
2016-01-01,3367.7419354838707
2016-02-01,2037.9310344827586
