Date-Time,PM2.5
2013-03-01,188.1290322580645
2013-04-01,123.96666666666667
2013-05-01,140.70967741935485
2013-06-01,170.53333333333333
2013-07-01,114.51612903225806
2013-08-01,110.48387096774194
2013-09-01,132.4
2013-10-01,179.16129032258064
2013-11-01,160.16666666666666
2013-12-01,163.61290322580646
2014-01-01,202.48387096774192
2014-02-01,245.46428571428572
2014-03-01,164.6451612903226
2014-04-01,163.0
2014-05-01,122.0
2014-06-01,103.4
2014-07-01,143.09677419354838
2014-08-01,107.2258064516129
2014-09-01,120.83333333333333
2014-10-01,193.96774193548387
2014-11-01,179.62666666666667
2014-12-01,128.5483870967742
2015-01-01,196.93548387096774
2015-02-01,189.07142857142858
2015-03-01,153.83870967741936
2015-04-01,126.53333333333333
2015-05-01,108.93548387096774
2015-06-01,111.9
2015-07-01,99.12903225806451
2015-08-01,82.03225806451613
2015-09-01,90.0
2015-10-01,146.80645161290323
2015-11-01,198.5
2015-12-01,304.7741935483871
2016-01-01,155.67741935483872
2016-02-01,108.13793103448276
